"city","sea"
"Trivandrum (Kerala, India)","Indian Ocean"
"Changuinola (Bocas del Toro, Panama)","Caribbean Sea"
"Sumbe (Cuanza Sul, Angola)","Atlantic Ocean"
"Veracruz (Veracruz, Mexico)","Gulf of Mexico"
"Miyazaki (Miyazaki, Japan)","Pacific Ocean"
"Al Ladhiqiyah (Al Ladhiqiyah, Syria)","Mediterranean Sea"
"San Diego (California, United States)","Pacific Ocean"
"Cumaná (Sucre, Venezuela)","Caribbean Sea"
"Grand Turk (Turks and Caicos Islands)","Atlantic Ocean"
"Karlskrona (Blekinge, Sweden)","Baltic Sea"
"Inhambane (Inhambane, Mozambique)","Indian Ocean"
"Oceanside (California, United States)","Pacific Ocean"
"Toliara (Madagascar)","Indian Ocean"
"Kerch (Krym, Ukraine)","Black Sea"
"Kerch (Krym, Ukraine)","Sea of Azov"
"Oxnard (California, United States)","Pacific Ocean"
"Aden (Yemen)","Gulf of Aden"
"Petropavlovsk-Kamčatskij (Kamchatka, Russia)","Pacific Ocean"
"Le Havre (Haute-Normandie, France)","The Channel"
"Bandjarmasin (Kalimantan Selatan, Indonesia)","Java Sea"
"Dubai (United Arab Emirates)","Persian Gulf"
"Marsa Matruh (Egypt)","Mediterranean Sea"
"Tanga (Tanga, Tanzania)","Indian Ocean"
"Trondheim (Sør-Trøndelag, Norway)","Norwegian Sea"
"Jamnagar (Gujarat, India)","Arabian Sea"
"Djibouti (Djibouti)","Gulf of Aden"
"Bridgeport (Connecticut, United States)","Atlantic Ocean"
"Incheon (South Korea)","Yellow Sea"
"Fukuyama (Hiroshima, Japan)","Pacific Ocean"
"Kaliningrad (Kaliningradskaya, Russia)","Baltic Sea"
"Bartin (Bartın, Turkey)","Black Sea"
"Wenzhou (Zhejiang, China)","East China Sea"
"Macao (Macao)","South China Sea"
"Maceió (Alagoas, Brazil)","Atlantic Ocean"
"Kuala Terengganu (Terengganu, Malaysia)","South China Sea"
"Monaco (Monaco)","Mediterranean Sea"
"Adelaide (South Australia, Australia)","Indian Ocean"
"Porto-Novo (Benin)","Atlantic Ocean"
"Bilbao (País Vasco, Spain)","Atlantic Ocean"
"Göteborg (Västra Götaland, Sweden)","Kattegat"
"Talara (Piura, Peru)","Pacific Ocean"
"Dar es Salaam (Dar es Salaam, Tanzania)","Indian Ocean"
"Comodoro Rivadavia (Chubut, Argentina)","Atlantic Ocean"
"Probolinggo (Jawa Timur, Indonesia)","Java Sea"
"Santa Ana de Coro (Falcón, Venezuela)","Caribbean Sea"
"Buenos Aires (Distrito Federal, Argentina)","Atlantic Ocean"
"Vejle (Syddanmark, Denmark)","Kattegat"
"Plymouth (South West, United Kingdom)","The Channel"
"Bur Sa'id (Egypt)","Mediterranean Sea"
"Varna (Bulgaria)","Black Sea"
"Port Harcourt (Rivers, Nigeria)","Atlantic Ocean"
"Nampho (North Korea)","Yellow Sea"
"As Seeb (Oman)","Gulf of Oman"
"Tarragona (Cataluña, Spain)","Mediterranean Sea"
"Guayaquil (Ecuador)","Pacific Ocean"
"Haikou (Hainan, China)","South China Sea"
"Philipsburg (Sint Maarten)","Caribbean Sea"
"Lisboa (Lisboa, Portugal)","Atlantic Ocean"
"Clearwater (Florida, United States)","Gulf of Mexico"
"Takoradi (Western, Ghana)","Atlantic Ocean"
"Tawau (Sabah, Malaysia)","Sulawesi Sea"
"Saipan (Northern Mariana Islands)","Pacific Ocean"
"Palu (Sulawesi Tengah, Indonesia)","Sulawesi Sea"
"Oslo (Oslo, Norway)","Skagerrak"
"Almería (Andalucía, Spain)","Mediterranean Sea"
"Al Kuwayt (Kuwait)","Persian Gulf"
"Honolulu (Hawaii, United States)","Pacific Ocean"
"Iraklio (Kritis, Greece)","Mediterranean Sea"
"Darwin (Northern Territory, Australia)","Indian Ocean"
"Antalya (Antalya, Turkey)","Mediterranean Sea"
"Akita (Akita, Japan)","Sea of Japan"
"Hammerfest (Finnmark, Norway)","Barents Sea"
"Melbourne (Victoria, Australia)","Indian Ocean"
"Tonsberg (Vestfold, Norway)","Skagerrak"
"Malindi (Kenya)","Indian Ocean"
"Gustavia (Saint Barthelemy)","Caribbean Sea"
"Tel Aviv-Yafo (Tel Aviv, Israel)","Mediterranean Sea"
"Hermansverk (Sogn og Fjordane, Norway)","North Sea"
"Jamestown (Saint Helena)","Atlantic Ocean"
"Miami (Florida, United States)","Atlantic Ocean"
"New York (New York, United States)","Atlantic Ocean"
"Boston (Massachusetts, United States)","Atlantic Ocean"
"Male (Maldives)","Indian Ocean"
"Geelong (Victoria, Australia)","Indian Ocean"
"San Andres de Tumaco (Nariño, Colombia)","Pacific Ocean"
"Namibe (Namibe, Angola)","Atlantic Ocean"
"Ceuta (Ceuta)","Mediterranean Sea"
"Vlorë (Albania)","Mediterranean Sea"
"São Luís (Maranhão, Brazil)","Atlantic Ocean"
"Stamford (Connecticut, United States)","Atlantic Ocean"
"Nukualofa (Tonga)","Pacific Ocean"
"Da Nang (Vietnam)","South China Sea"
"Chimbote (Ancash, Peru)","Pacific Ocean"
"Viña del Mar (Valparaíso, Chile)","Pacific Ocean"
"Changwon (South Korea)","East China Sea"
"São Gonçalo (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Saint Johns (Antigua and Barbuda)","Caribbean Sea"
"Denpasar (Bali, Indonesia)","Indian Ocean"
"Pondicherry (Puducherry, India)","Gulf of Bengal"
"Sevastopol´ (Sevastopol´, Ukraine)","Black Sea"
"Rijeka (Croatia)","Mediterranean Sea"
"Bejaïa (Algeria)","Mediterranean Sea"
"Tanger (Tanger Tetouan, Morocco)","Atlantic Ocean"
"As Suways (Egypt)","Red Sea"
"Itaboraí (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Algeciras (Andalucía, Spain)","Mediterranean Sea"
"Murmansk (Murmanskaya, Russia)","Barents Sea"
"Durrës (Albania)","Mediterranean Sea"
"Saint Helier (Jersey)","The Channel"
"Palikir (Micronesia)","Pacific Ocean"
"Norfolk (Virginia, United States)","Atlantic Ocean"
"Panamá City (Panamá, Panama)","Pacific Ocean"
"Kénitra (Gharb Chrarda Beni Hssen, Morocco)","Atlantic Ocean"
"Sunderland (North East, United Kingdom)","North Sea"
"Mytilini (Boreioy Aigaioy, Greece)","Mediterranean Sea"
"Los Angeles (California, United States)","Pacific Ocean"
"Bushehr (Bushehr, Iran)","Persian Gulf"
"Davao (Davao, Philippines)","Sulawesi Sea"
"Mamuju (Sulawesi Barat, Indonesia)","Java Sea"
"Hue (Vietnam)","South China Sea"
"São Vicente (São Paulo, Brazil)","Atlantic Ocean"
"Douala (Littoral, Cameroon)","Atlantic Ocean"
"Härnösand (Västernorrland, Sweden)","Baltic Sea"
"Niigata (Niigata, Japan)","Sea of Japan"
"Paranaguá (Paraná, Brazil)","Atlantic Ocean"
"Kaohsiung (Taiwan)","South China Sea"
"Halifax (Nova Scotia, Canada)","Atlantic Ocean"
"Salé (Rabat Sale Zemmour Zaer, Morocco)","Atlantic Ocean"
"Quelimane (Zambézia, Mozambique)","Indian Ocean"
"Kitakyushu (Fukuoka, Japan)","Sea of Japan"
"Rize (Rize, Turkey)","Black Sea"
"Fort-de-France (Martinique)","Caribbean Sea"
"Dili (Timor-Leste)","Banda Sea"
"Benguela (Benguela, Angola)","Atlantic Ocean"
"Århus (Midtjylland, Denmark)","Kattegat"
"Kusong (North Korea)","Sea of Japan"
"Kiel (Schleswig-Holstein, Germany)","Baltic Sea"
"Pétion-Ville (Haiti)","Caribbean Sea"
"Beira (Sofala, Mozambique)","Indian Ocean"
"Majunga (Madagascar)","Indian Ocean"
"Kurashiki (Okayama, Japan)","Pacific Ocean"
"Ancona (Marche, Italy)","Mediterranean Sea"
"Algiers (Algeria)","Mediterranean Sea"
"Lomé (Togo)","Atlantic Ocean"
"Tallinn (Estonia)","Baltic Sea"
"Duque de Caxias (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Cabo Frio (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Arkhangelsk (Arkhangel´skaya, Russia)","Barents Sea"
"Cap-Haïtien (Haiti)","Atlantic Ocean"
"Mumbai (Maharashtra, India)","Arabian Sea"
"Oporto (Porto, Portugal)","Atlantic Ocean"
"Jakarta (DKI Jakarta, Indonesia)","Java Sea"
"Noumea (New Caledonia)","Pacific Ocean"
"Porto Alegre (Rio Grande do Sul, Brazil)","Atlantic Ocean"
"Oita (Oita, Japan)","Pacific Ocean"
"Ushuaia (Tierra del Fuego, Argentina)","Atlantic Ocean"
"Portsmouth (South East, United Kingdom)","The Channel"
"Hong Kong (Hong Kong)","South China Sea"
"Magadan (Magadan, Russia)","Sea of Okhotsk"
"Fort Lauderdale (Florida, United States)","Atlantic Ocean"
"Kristiansand (Vest-Agder, Norway)","Skagerrak"
"Mata-Utu (Wallis and Futuna)","Pacific Ocean"
"Tsu (Mie, Japan)","Pacific Ocean"
"San Juan (Puerto Rico)","Atlantic Ocean"
"Jeddah (Makkah Al-Mokarramah, Saudi Arabia)","Red Sea"
"Kagoshima (Kagoshima, Japan)","East China Sea"
"Dammam (Ash Sharqiyah, Saudi Arabia)","Persian Gulf"
"Wete (Kaskazini Pemba, Tanzania)","Indian Ocean"
"Busan (South Korea)","Sea of Japan"
"Road Town (British Virgin Islands)","Caribbean Sea"
"Kingston (Jamaica)","Caribbean Sea"
"Cebu (Central Visayas, Philippines)","Sulu Sea"
"Southampton (South East, United Kingdom)","The Channel"
"Gorontalo (Gorontalo, Indonesia)","Banda Sea"
"Hollywood (Florida, United States)","Atlantic Ocean"
"Swansea (Wales, United Kingdom)","Atlantic Ocean"
"Çorlu (Tekirdağ, Turkey)","Marmara Sea"
"Makassar (Sulawesi Selatan, Indonesia)","Java Sea"
"Kim Chaek (North Korea)","Sea of Japan"
"Pointe-Noire (Pointe-Noire, Congo)","Atlantic Ocean"
"La Guaira (Vargas, Venezuela)","Caribbean Sea"
"Manila (Metro Manila, Philippines)","South China Sea"
"Townsville (Queensland, Australia)","Pacific Ocean"
"Espoo (Uusimaa, Finland)","Baltic Sea"
"San-Pedro (Bas-Sassandra, Cote dIvoire)","Atlantic Ocean"
"Hurghada (Egypt)","Red Sea"
"Fortaleza (Ceará, Brazil)","Atlantic Ocean"
"Dakar (Dakar, Senegal)","Atlantic Ocean"
"Concepción (Bío-Bío, Chile)","Pacific Ocean"
"Mostaganem (Algeria)","Mediterranean Sea"
"Viana do Castelo (Viana do Castelo, Portugal)","Atlantic Ocean"
"Praia (Cape Verde)","Atlantic Ocean"
"Constanţa (Constanţa, Romania)","Black Sea"
"Libreville (Gabon)","Atlantic Ocean"
"Valparaíso (Valparaíso, Chile)","Pacific Ocean"
"Muscat (Oman)","Gulf of Oman"
"Bocas del Toro (Bocas del Toro, Panama)","Caribbean Sea"
"Kavaratti (Lakshadweep, India)","Arabian Sea"
"Majuro (Marshall Islands)","Pacific Ocean"
"Yaren (Nauru)","Pacific Ocean"
"Sunshine Coast (New South Wales, Australia)","Pacific Ocean"
"Cayenne (French Guiana)","Atlantic Ocean"
"Samarinda (Kalimantan Timur, Indonesia)","Java Sea"
"Hilo (Hawaii, United States)","Pacific Ocean"
"Ajaccio (Corse, France)","Mediterranean Sea"
"Shizuoka (Shizuoka, Japan)","Pacific Ocean"
"Medan (Sumatera Utara, Indonesia)","Malakka Strait"
"Cancún (Quintana Roo, Mexico)","Caribbean Sea"
"Kuantan (Pahang, Malaysia)","South China Sea"
"Tampa (Florida, United States)","Gulf of Mexico"
"Haeju (North Korea)","Yellow Sea"
"Cardiff (Wales, United Kingdom)","Atlantic Ocean"
"Huelva (Andalucía, Spain)","Atlantic Ocean"
"Doha (Qatar)","Persian Gulf"
"Cabinda (Cabinda, Angola)","Atlantic Ocean"
"Kochi (Kerala, India)","Arabian Sea"
"Mazatlán (Sinaloa, Mexico)","Pacific Ocean"
"Port Blair (Andaman and Nicobar Islands, India)","Gulf of Bengal"
"Port Blair (Andaman and Nicobar Islands, India)","Andaman Sea"
"Sendai (Miyagi, Japan)","Pacific Ocean"
"Macaé (Rio de Janeiro, Brazil)","Atlantic Ocean"
"Mtwara (Mtwara, Tanzania)","Indian Ocean"
"Skikda (Algeria)","Mediterranean Sea"
"Port St. Lucie (Florida, United States)","Atlantic Ocean"
"La Ceiba (Atlántida, Honduras)","Caribbean Sea"
"Newcastle (New South Wales, Australia)","Pacific Ocean"
"Gold Coast (Queensland, Australia)","Pacific Ocean"
"Nador (Oriental, Morocco)","Mediterranean Sea"
"Shantou (Guangdong, China)","South China Sea"
"Funchal (Madeira, Portugal)","Atlantic Ocean"
"Torre del Greco (Campania, Italy)","Mediterranean Sea"
"Yeosu (South Korea)","East China Sea"
"Perpignan (Languedoc-Roussillon, France)","Mediterranean Sea"
"Castellón de la Plana (Valenciana, Spain)","Mediterranean Sea"
"Zadar (Croatia)","Mediterranean Sea"
"Nha Trang (Vietnam)","South China Sea"
"Semarang (Jawa Tengah, Indonesia)","Java Sea"
"Uribia (La Guajira, Colombia)","Caribbean Sea"
"Southend-on-Sea (East of England, United Kingdom)","North Sea"
"Kerkyra (Ionion Nison, Greece)","Mediterranean Sea"
"Poole (South West, United Kingdom)","The Channel"
"Hangzhou (Zhejiang, China)","East China Sea"
"Sandvika (Akershus, Norway)","Skagerrak"
"Zhanjiang (Guangdong, China)","South China Sea"
"Vadsø (Finnmark, Norway)","Barents Sea"
"Guediawaye (Dakar, Senegal)","Atlantic Ocean"
"Trujillo (Colón, Honduras)","Caribbean Sea"
"Fujisawa (Kanagawa, Japan)","Pacific Ocean"
"Abu Dhabi (United Arab Emirates)","Persian Gulf"
"St. Petersburg (Florida, United States)","Gulf of Mexico"
"Bergen (Hordaland, Norway)","North Sea"
"Himeji (Hyogo, Japan)","Pacific Ocean"
"Zanzibar (Mjini Magharibi Unguja, Tanzania)","Indian Ocean"
"Marbella (Andalucía, Spain)","Mediterranean Sea"
"Kotka (Kymi, Finland)","Baltic Sea"
"Helsinki (Uusimaa, Finland)","Baltic Sea"
"Badalona (Cataluña, Spain)","Mediterranean Sea"
"Tijuana (Baja California, Mexico)","Pacific Ocean"
"Messina (Sicilia, Italy)","Mediterranean Sea"
"Victoria (British Columbia, Canada)","Pacific Ocean"
"Manokwari (Papua Barat, Indonesia)","Pacific Ocean"
"Cork (Ireland)","Atlantic Ocean"
"Saint Peter Port (Guernsey)","The Channel"
"Gibraltar (Gibraltar)","Mediterranean Sea"
"Palma de Mallorca (Illes Balears, Spain)","Mediterranean Sea"
"Sfax (Tunisia)","Mediterranean Sea"
"Manzanillo (Granma, Cuba)","Caribbean Sea"
"Keflavik (Iceland)","Atlantic Ocean"
"Cape Coral (Florida, United States)","Gulf of Mexico"
"Yingkou (Liaoning, China)","Yellow Sea"
"Tripoli (Libya)","Mediterranean Sea"
"Lima (Lima City, Peru)","Pacific Ocean"
"Abomey-Calavi (Benin)","Atlantic Ocean"
"Castries (Saint Lucia)","Caribbean Sea"
"Bremerhaven (Bremen, Germany)","North Sea"
"Venézia (Veneto, Italy)","Mediterranean Sea"
"Luanda (Luanda, Angola)","Atlantic Ocean"
"Samut Prakan (Thailand)","South China Sea"
"Sittwe (Rakhine, Myanmar)","Gulf of Bengal"
"Annaba (Algeria)","Mediterranean Sea"
"Wollongong (New South Wales, Australia)","Pacific Ocean"
"Warri (Delta, Nigeria)","Atlantic Ocean"
"Táranto (Puglia, Italy)","Mediterranean Sea"
"Gaza (Gaza Strip)","Mediterranean Sea"
"Liverpool (North West, United Kingdom)","Irish Sea"
"Cádiz (Andalucía, Spain)","Atlantic Ocean"
"Eastbourne (South East, United Kingdom)","The Channel"
"Narvik (Nordland, Norway)","Norwegian Sea"
"Batumi (Georgia)","Black Sea"
"Puerto La Cruz (Anzoátegui, Venezuela)","Caribbean Sea"
"Juneau (Alaska, United States)","Pacific Ocean"
"Huntington Beach (California, United States)","Pacific Ocean"
"Barranquilla (Atlántico, Colombia)","Caribbean Sea"
"Salerno (Campania, Italy)","Mediterranean Sea"
"Colombo (Sri Lanka)","Indian Ocean"
"Campeche (Campeche, Mexico)","Gulf of Mexico"
"Tunis (Tunisia)","Mediterranean Sea"
"Helsingborg (Skåne, Sweden)","Kattegat"
"Perth (Western Australia, Australia)","Indian Ocean"
"Oranjestad (Aruba)","Caribbean Sea"
"Chongjin (North Korea)","Sea of Japan"
"Stockholm (Stockholm, Sweden)","Baltic Sea"
"Klaipeda (Lithuania)","Baltic Sea"
"Pago Pago (American Samoa)","Pacific Ocean"
"Tampico (Tamaulipas, Mexico)","Gulf of Mexico"
"Sydney (New South Wales, Australia)","Pacific Ocean"
"Providence (Rhode Island, United States)","Atlantic Ocean"
"Monrovia (Liberia)","Atlantic Ocean"
"Mombasa (Kenya)","Indian Ocean"
"Pangkal Pinang (Kepulauan Bangka Belitung, Indonesia)","South China Sea"
"Burgas (Bulgaria)","Black Sea"
"Mokpo (South Korea)","Yellow Sea"
"Salvador (Bahia, Brazil)","Atlantic Ocean"
"Reykjavik (Iceland)","Atlantic Ocean"
"Qui Nhon (Vietnam)","South China Sea"
"Taitung (Taiwan)","Pacific Ocean"
"Rio Grande (Rio Grande do Sul, Brazil)","Atlantic Ocean"
"Gonaïves (Haiti)","Caribbean Sea"
"Bari (Puglia, Italy)","Mediterranean Sea"
"Suva (Fiji)","Pacific Ocean"
"Jeju (South Korea)","Yellow Sea"
"Lübeck (Schleswig-Holstein, Germany)","Baltic Sea"
"Ashiaman (Greater Accra, Ghana)","Atlantic Ocean"
"Sanya (Hainan, China)","South China Sea"
"Hamamatsu (Shizuoka, Japan)","Pacific Ocean"
"Willemstad (Curacao)","Caribbean Sea"
"Santo Domingo (Dominican Republic)","Caribbean Sea"
"Toyama (Toyama, Japan)","Sea of Japan"
"Canakkale (Çanakkale, Turkey)","Mediterranean Sea"
"Canakkale (Çanakkale, Turkey)","Marmara Sea"
"Lerwick (Scotland, United Kingdom)","North Sea"
"Rostock (Mecklenburg-Vorpommern, Germany)","Baltic Sea"
"Ermoupoli (Notioy Aigaioy, Greece)","Mediterranean Sea"
"Edinburgh (Scotland, United Kingdom)","North Sea"
"Boca del Río (Veracruz, Mexico)","Gulf of Mexico"
"Iloilo (Western Visayas, Philippines)","Sulu Sea"
"Elizabeth (New Jersey, United States)","Atlantic Ocean"
"Tekirdag (Tekirdağ, Turkey)","Marmara Sea"
"Steinkjer (Nord-Trøndelag, Norway)","Norwegian Sea"
"Aracaju (Sergipe, Brazil)","Atlantic Ocean"
"Recife (Pernambuco, Brazil)","Atlantic Ocean"
"Mogadishu (Somalia)","Indian Ocean"
"Santos (São Paulo, Brazil)","Atlantic Ocean"
"Dublin (Ireland)","Irish Sea"
"Tumbes (Tumbes, Peru)","Pacific Ocean"
"Maracaibo (Zulia, Venezuela)","Caribbean Sea"
"Montevideo (Uruguay)","Atlantic Ocean"
"Randers (Midtjylland, Denmark)","Kattegat"
"Novorossiysk (Krasnodarskiy, Russia)","Black Sea"
"Sinop (Sinop, Turkey)","Black Sea"
"Mkokotoni (Kaskazini Unguja, Tanzania)","Indian Ocean"
"Cape Town (Western Cape, South Africa)","Indian Ocean"
"Cape Town (Western Cape, South Africa)","Atlantic Ocean"
"Pikine (Dakar, Senegal)","Atlantic Ocean"
"Cape Coast (Central, Ghana)","Atlantic Ocean"
"Vitória (Espírito Santo, Brazil)","Atlantic Ocean"
"Limón (Limón, Costa Rica)","Caribbean Sea"
"Wonsan (North Korea)","Sea of Japan"
"Turbo (Antioquia, Colombia)","Caribbean Sea"
"Mersin (Mersin, Turkey)","Mediterranean Sea"
"Ponta Delgada (Azores, Portugal)","Atlantic Ocean"
"New Haven (Connecticut, United States)","Atlantic Ocean"
"Conakry (Guinea)","Atlantic Ocean"
"Siracusa (Sicilia, Italy)","Mediterranean Sea"
"Sinpho (North Korea)","Sea of Japan"
"Corpus Christi (Texas, United States)","Gulf of Mexico"
"Chiclayo (Lambayeque, Peru)","Pacific Ocean"
"Malmö (Skåne, Sweden)","Baltic Sea"
"Belfast (Northern Ireland, United Kingdom)","Irish Sea"
"Panaji (Goa, India)","Arabian Sea"
"Réggio di Calabria (Calabria, Italy)","Mediterranean Sea"
